SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532219,ENERGY DEV. ,T ,Q,9.90,10.18,9.55,9.59,9.55,9.70,58,23600,234408.00,
532221,SONATA SOFT.,A ,Q,513.90,513.90,475.20,484.25,483.95,506.50,1314,42322,20711833.00,
532230,BENGAL TEA &,X ,Q,38.25,39.00,38.25,39.00,39.00,39.50,3,102,3976.00,
532234,NAT.ALUM    ,A ,Q,56.60,58.00,55.45,56.80,56.80,56.30,3933,1499973,85115340.00,
532240,INDIA NIPPON,B ,Q,380.25,380.25,363.00,368.90,369.40,376.15,64,602,224529.00,
532256,NALWA SONS  ,B ,Q,1024.10,1049.60,998.90,1000.00,1000.00,1024.40,64,508,523332.00,
532259,APAR INDUS. ,A ,Q,485.30,485.30,454.00,458.60,458.60,474.70,468,7519,3530184.00,
532262,TCI INDUS.  ,XT,Q,787.00,787.00,787.00,787.00,787.00,750.00,1,10,7870.00,
532268,ACCELYA     ,A ,Q,910.00,910.00,867.55,880.45,882.00,885.35,107,467,410463.00,
532271,CYBERMATE   ,Z ,Q,1.49,1.49,1.49,1.49,1.49,1.47,17,29811,44418.00,
532281,HCL TECHNO  ,A ,Q,994.00,1000.35,932.30,948.30,948.30,987.50,23281,804722,784717295.00,
532282,CASTEXTECH  ,T ,Q,0.36,0.37,0.36,0.37,0.37,0.37,16,63366,22966.00,
532284,TCFC FINANCE,X ,Q,24.50,26.45,24.50,25.25,25.70,25.00,34,3896,96593.00,
532285,GEOJITFSL   ,B ,Q,54.30,54.80,51.55,52.30,52.85,53.80,927,96615,5106669.00,
532286,JINDAL STE  ,A ,Q,312.50,318.45,302.55,309.95,309.95,308.90,3706,383972,119681842.00,
532290,BLB LTD.    ,T ,Q,6.68,6.90,6.54,6.54,6.54,6.88,9,3090,20819.00,
532296,GLENMARK PHA,A ,Q,464.90,465.00,447.30,455.90,455.00,458.90,1886,69347,31524032.00,
532300,WOCKHARDT   ,A ,Q,463.80,464.55,431.00,436.10,436.10,459.05,3638,158877,70859736.00,
532301,TATA COFFEE ,A ,Q,122.00,124.20,117.20,119.25,119.25,121.55,2948,265808,32322793.00,
532305,IND-SWIFT LA,B ,Q,84.95,84.95,78.50,78.60,78.60,82.60,204,32748,2624420.00,
532307,MELSTAR INFO,Z ,Q,2.04,2.04,2.00,2.03,2.03,1.96,12,2655,5388.00,
532309,GEPIL       ,A ,Q,281.40,282.00,252.00,264.00,269.60,278.05,819,15097,4060176.00,
532310,SHREE RAMA  ,B ,Q,10.56,11.50,10.20,10.41,10.48,10.62,96,149910,1595557.00,
532313,MAHINDRALIFE,A ,Q,530.00,531.25,507.20,517.10,518.75,529.90,429,3591,1875640.00,
532321,CADILA HEALT,A ,Q,431.00,432.20,418.00,419.90,419.90,428.90,1232,51644,21906511.00,
532323,SHIVA CEMENT,X ,Q,19.40,19.50,18.10,18.55,18.55,19.00,668,367289,6867312.00,
532324,CINEVISTA   ,B ,Q,6.14,6.15,5.79,5.79,5.79,6.02,12,3044,18150.00,
532326,INTENS TECH ,B ,Q,33.80,33.80,33.20,33.30,33.30,33.60,61,2032,67751.00,
532329,DANLAW TECH.,XT,Q,235.00,235.00,225.80,235.00,235.00,230.40,130,13968,3236318.00,
532331,AJANTA PHARM,A ,Q,1791.00,1800.95,1766.50,1785.45,1785.45,1794.15,417,3751,6695704.00,
532333,HB PORTFOLIO,X ,Q,24.00,24.00,20.20,21.65,22.60,22.65,32,1599,34061.00,
532334,HB ESTATE DE,X ,Q,12.36,12.99,12.35,12.99,12.99,12.99,6,610,7625.00,
532339,COMPUCOM SOF,B ,Q,8.78,9.25,8.78,9.21,9.00,9.02,100,31072,283057.00,
532340,OMNI AX'S SO,X ,Q,1.71,1.71,1.71,1.71,1.71,1.71,2,8,13.00,
532341,IZMO        ,B ,Q,58.50,58.50,55.25,55.25,55.25,58.15,31,3092,174325.00,
532343,TVS MOTOR L ,A ,Q,578.15,586.75,564.75,570.75,572.10,575.70,1098,46065,26535752.00,
532344,SOFTSOL (I) ,X ,Q,73.05,73.10,73.05,73.10,73.10,75.00,3,205,14980.00,
532345,GATI LTD.   ,A ,Q,111.00,114.20,103.05,104.95,104.95,111.15,2227,170204,18384837.00,
532348,SUBEX LTX   ,B ,Q,38.30,38.40,34.25,35.65,35.65,37.30,5435,1859226,67575588.00,
532349,TRANSPORT CO,A ,Q,244.30,244.85,239.85,240.75,242.40,243.20,246,4430,1072555.00,
532350,PADMALAYA TE,XT,Q,2.30,2.50,2.30,2.50,2.50,2.39,29,5963,14511.00,
532351,AKSH OPTIFIB,B ,Q,6.30,6.35,6.10,6.20,6.26,6.28,182,64134,400286.00,
532355,PICTURHOUSE ,X ,Q,1.31,1.31,1.31,1.31,1.31,1.37,2,5000,6550.00,
532356,TRIVENI ENGG,A ,Q,87.50,88.90,84.20,84.60,85.00,87.10,664,82359,7156359.00,
532357,MUKTA ARTS  ,B ,Q,31.50,31.65,31.00,31.00,31.00,31.60,20,581,18177.00,
532359,HITKIT GLOB ,XT,Q,0.49,0.49,0.49,0.49,0.49,0.49,2,104,50.00,
532362,NAGPUR POWER,X ,Q,26.00,28.70,26.00,26.40,26.40,27.35,11,605,17331.00,
532365,DYNACONS SYS,B ,Q,72.95,73.85,68.50,70.95,72.10,71.75,186,11892,856587.00,
532366,PNB GILTS   ,B ,Q,51.00,51.10,48.40,48.95,48.95,50.20,910,126920,6262162.00,
532368,BCG         ,B ,Q,9.85,9.87,9.08,9.08,9.08,9.55,1135,780481,7261061.00,
532369,RAMCO INDS. ,A ,Q,263.00,265.40,257.00,261.35,262.75,262.35,700,12158,3179658.00,
532370,RAMCO  SYSTM,A ,Q,595.00,599.55,569.60,585.65,575.00,596.25,602,8911,5199641.00,
532371,TATA TELESER,T ,Q,15.45,15.80,14.75,14.75,14.75,15.50,2554,686852,10268397.00,
532372,VIRINCHI    ,X ,Q,38.50,39.15,36.05,36.45,37.10,38.50,370,70536,2614785.00,
532373,WEPSOLN     ,X ,Q,16.00,16.00,15.25,15.45,15.40,15.90,63,27027,417803.00,
532374,STER TECH   ,A ,Q,215.00,218.50,206.50,208.85,208.85,214.40,1104,54808,11611593.00,
532375,TIPSINDUSTR ,T ,Q,490.20,535.00,490.20,507.30,520.90,513.65,77,3100,1580116.00,
532378,UNIVERSAL A ,X ,Q,0.95,0.95,0.95,0.95,0.95,0.95,6,34461,32737.00,
532379,FIRSTOBJ    ,X ,Q,5.00,5.00,5.00,5.00,5.00,4.99,3,205,1025.00,
532380,BABA ARTS   ,X ,Q,9.55,9.85,9.07,9.11,9.10,9.88,14,784,7160.00,
532382,BALAJI TELE.,A ,Q,61.35,61.35,58.35,59.00,58.95,60.35,267,42425,2527933.00,
532384,TYCHE INDS  ,X ,Q,168.90,174.80,155.00,167.30,167.30,168.80,879,46326,7540666.00,
532386,CALIFORN.SOF,B ,Q,8.99,9.00,8.84,8.88,8.89,8.99,50,1950,17406.00,
532387,PRITISHN COM,B ,Q,28.45,28.45,28.45,28.45,28.45,27.10,9,1345,38265.00,
532388,INDIAN OVER.,A ,Q,16.75,16.95,15.45,15.75,15.75,16.70,4518,2050384,32899178.00,
532390,TAJ GVK HOTL,A ,Q,121.40,121.40,115.25,116.25,116.25,118.45,452,15154,1769305.00,
532391,OPTO CIRCUIT,T ,Q,3.99,3.99,3.70,3.78,3.80,3.85,178,70304,266042.00,
532392,CREATIVE EYE,B ,Q,2.88,2.88,2.67,2.87,2.87,2.81,6,7208,20665.00,
532395,AXISCADES   ,B ,Q,46.00,46.35,43.45,44.40,44.25,46.00,157,7742,350600.00,
532397,KONNDOR     ,X ,Q,2.17,2.17,2.17,2.17,2.17,2.28,1,100,217.00,
532398,UMESL       ,T ,Q,4.68,4.69,4.68,4.69,4.69,4.47,58,29046,136162.00,
532400,BSOFT       ,A ,Q,246.95,252.10,237.50,241.40,242.50,245.55,4668,72451,17776527.00,
532402,USGTECH     ,X ,Q,2.25,2.25,2.25,2.25,2.25,2.36,1,100,225.00,
532404,SAVEN TECHNO,X ,Q,32.25,33.65,31.70,31.70,31.70,33.35,105,7194,230635.00,
532406,AVANTEL LTD ,X ,Q,400.00,400.00,385.00,387.90,393.70,399.00,186,10962,4297385.00,
532407,MOSCHIP     ,X ,Q,25.85,25.85,24.00,25.85,25.85,24.65,1098,2354833,60779922.00,
532408,MEGASOFT LTD,B ,Q,10.01,10.15,9.80,9.92,9.83,10.10,46,8779,87257.00,
532410,TRANSCORP IN,X ,Q,8.55,9.36,8.18,8.29,8.29,9.07,59,4787,41418.00,
532413,CEREBRA INTE,B ,Q,55.85,56.00,52.05,52.90,54.00,54.90,358,49414,2683297.00,
532416,MID-DAY MULT,B ,Q,4.35,4.35,4.35,4.35,4.35,4.39,1,3,13.00,
532419,SMARTLINK   ,B ,Q,87.55,88.00,86.00,86.65,86.60,87.20,60,2318,201544.00,
532424,GODREJ CONS ,A ,Q,664.00,664.00,654.30,659.90,659.90,661.65,3202,79047,52140013.00,
532425,GENUSPRIME  ,X ,Q,6.73,6.73,6.73,6.73,6.73,6.60,5,612,4118.00,
532430,BF UTILI    ,A ,Q,273.00,273.90,255.50,257.75,262.70,269.45,1013,31495,8282329.00,
532432,UNITD SPR   ,B ,Q,538.60,543.35,520.20,524.95,524.95,538.20,3574,81471,43089946.00,
532435,SANINFRA    ,X ,Q,110.10,118.00,110.10,110.15,110.10,115.85,94,4615,515564.00,
532439,OLECTRA     ,B ,Q,220.00,220.75,205.00,209.75,210.80,214.25,1467,59419,12594220.00,
532440,MPS LTD     ,B ,Q,470.95,470.95,454.40,455.80,455.00,462.30,100,532,244010.00,
532441,RNBOWDENIM  ,X ,Q,1.16,1.16,1.16,1.16,1.16,1.22,2,101,117.00,
